Fic number,Character name,Times mentioned
0,slawsbutsawtheentirethingassomethingthatcouldhappentohimbecauseapparently,1
0,"hatedhim,orsomething.Beelzebubdidn’tbelieveinMurphy’slawssothereforedidn’tshowup.Helethissensesspreadinsearchofthatparticularangelicbeacon.Itshonebrightlyformthecafénearthelake._They_shone.Thereweretwoofthem._Couldthisbetheequivalentofthedemonicgangthat",1
0,"hadbeensoverycasualabout?__Nomatter_.Hefeltthemfirstandhewasreadytotakebothofthem,headon._Whywasheeventhinkingabouthisangelicbrethrengoingdown?_TheyneveractedlikewhatBeelzebubdescribeduntilnow.Therewasnoreasonforhimtofeartheotherangels.Wasthere?_No,",1
0,"wassurelymakingawholethingoutofit._MaybeshewastryingtoturnhimagainstHeaven.Thatmadehimsadforareason._Imeansure,shewasademonandall.Buthereallyenjoyedtheirbanter._",1
0,",herbanter._Shehadacharmingsmileevenifitwasalsoterrifyingattimes.Theirlastencounterhadbeenparticularly…hmm…_pleasant_.Hedidsupposeitcouldhaveallbeenpartofaruseandcouldn’thelpbutbealittledisappointedinthat.Butifshejustwantedtoplayhimlikeafiddlesurelytherewereotherways.Shewouldn’thaveproposedweeklymeetings.Shewouldn’thavestoppedwhattheyweredoinglastTuesday.Shecouldhavehadhimonhisknees._Wouldhave_.Andhewassureshewaswellawareofthefact.Shewouldn’thaveadmittedtohimofbeingterrifiedofthepeoplefromDownstairs.Thatshowedatleastabitof…_trust?_Heneededtofocusontheangelsatthemomentandtakehismindoffherorhewouldnotbeabletoconcentrateonthetaskathand.Andheneededtofocusifotherangelsplanedtodiscorporatehim.HelookedaroundandspottedRaphaelandJophielsittingatasmalltablenearthelakeandhavingtea.Theylookedveryoutofplaceanddrewattentiononthemselveslikeanelephantinachinashop.Even",1
0,wasn’tthatobviousanddespitehisveryhighselfesteemhedidknowhedidn’texactlyfitinonEarthallthatwell.Thosetwowerebasicallywavingneon-litbannersovertheirheadswithhowoutofplacetheylooked.,1
0,waslookinglikeastereotypicalspyfromallofthoseshitmovies,1
0,hadstartedwatchingtostaveoffhisboredom.Hehaddarksunglassesandaform-fittingblacksuit.Heevenhadaleatherbriefcase.,1
0,wonderedifitwouldbefullofexplodinggumpackagesandpoisonousinkpensifheweretoopenit._Surelookedlikeit_.,1
0,"lookedlikesomethingoutofa1960’smovie.Sheborearedsilkheadscarfandapairofcat-sunglassesaswell.Andsheworeapolkadotdresswithamatchingredribbonforabelt.Andlacegloves._WeretheytryingtotakeapageoutofAziraphale’sbookabouthowtoseemconspicuousasHell_,orwhatexactlyweretheydoing?‘Whatareyoudoingdownhere?’hecouldn’thelpbutfrownatthem,handsacrosshischest.Hemadeadecisionandhemadeitquick.Noteventhatmuchofadecisiontostartwith.HeneededtoprotectBeenomatterwhathertricksandschemeswere.Andthatmeanthavingalotlessangelsaround.‘",1
